"circo","uid","nom","sexe","naissance","bloc","liste","parti","bureau","comm","votes","pic","bio","lon","lat","geo"
"Gafsa","4f4fbcf3bd8cb5615700006c","Abdelhalim Zouari","F",1963,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des affaires sociales",97.21,"http://www.marsad.tn/uploads/images/Abdelhalim_Zouari.jpg","Né le 01 février 1963 à El Mdhilla, a fait ses études primaires à El Mdhilla, puis ses études secondaires au lycée secondaire mixte de Gafsa, et il a obtenu son baccalauréat au lycée Abben Romdhane à Alger en 1984 Il a par la suite étudié la médecine à l’institut supérieur des sciences médicales à Alger et est par la suite retourné en Tunisie en 1994, après avoir obtenu l’équivalence. Il a commencé à exercer en tant que médecin généraliste de la santé publique en 1997, a fait une année de Master de médecine de la famille à la faculté de médecine de Sousse, puis une année de master en adolescientologie à la faculté de médecine de Sfax. Il faisait partie du mouvement islamique depuis le secondaire, a été jugé en 2003 pour une affaire de financement, mais il a bénéficié d’un non lieu. Il est marié et père de deux filles.",8.783333,34.416667,"Tunisie"
"Gafsa","4f4fbcf3bd8cb56157000013","Zohra Smida","F",1963,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des affaires éducatives;Commission de l'infrastructure et de l'environnement;Commission du préambule, des principes fondamentaux et de révision de la Constitution",93.7,"http://www.marsad.tn/uploads/images/Zohra_Smida.jpg","Zohra Smida est née le 10 Novembre 1963 à Nafta. Elle a effectué ses études à l'école primaire Hassine Bouzayen à Gafsa et ensuite au lycée secondaire Cité des Jeunes où elle a obtenu son baccalauréat en Lettres en 1982. Elle a intégré l'école de formation des maitres d'école durant la même année. Après l'obtention de son diplôme, Zohra Smida a travaillé comme institutrice à Metlaoui mais s'est stabilisée à l'école Hassine Bouzayen depuis 1988. Zohra Smida appartenait au mouvement islamique depuis 1979. En effet, elle supervisait le section régionale des femmes qui est l'une des structures du mouvement.",8.783333,34.416667,"Tunisie"
"Gafsa","4f4fbcf3bd8cb561570000ae","Mohamed Nejib Khila","H",1963,"Aucun bloc","Parti démocratique progressiste","Indépendant",NA,"Commission des affaires éducatives",83.35,"http://www.marsad.tn/uploads/images/Mohamed_Khila.jpg","Né à Gafsa, Mohamed Nejib Khila a obtenu sa licence en psychologie en 1984. Il a longtemps travaillé dans le domaine de la formation et la supervision dans l’enseignement primaire et a ensuite rejoint l’enseignement secondaire. Il était le candidat du Parti Démocrate Progressiste à Gafsa en tête de liste.",8.783333,34.416667,"Tunisie"
"Gafsa","4f4fbcf3bd8cb56157000071","Abdessalem Chaabane","H",1966,"Congrès Pour La République","Congrès pour la république","Congrès pour la république",NA,"Commission des affaires éducatives;Commission des instances constitutionnelles",71.55,"http://www.marsad.tn/uploads/images/CPR_Abdesslam_Chaabane.jpg","Né le 24 Septembre 1966 à Gafsa, il a travaillé dans le secteur de l'enseignement en commençant comme instituteur dans les écoles primaires et ensuite comme inspecteur d'enseignement secondaire, et ceci après avoir obtenu sa maitrise en histoire-géographie. Il était membre actif dans le milieu syndical. En effet, il était membre permanent dy syndicat des inspecteurs. Il a rejoint le parti du Congrès Pour la République en 2011 avec lequel il s'est présenté aux élections de l'Assemblée Nationale Constituante. Il a gagné un siège et occupe en ce moment la position de président au sein de la commission des affaires éducatives et il est aussi membre de la commission des instances constitutionnelles.",8.783333,34.416667,"Tunisie"
"Gafsa","4f4fbcf3bd8cb56157000056","Slimane Hlal","H",1957,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de l'énergie et des secteurs de production;Commission des instances constitutionnelles",91.25,"http://www.marsad.tn/uploads/images/Slimane_Hlel.jpg","Né le 31 décembre 1957 à Oum Laarayes à Gafsa, il a effectué ses études primaires à Oum Laarayes et a poursuivi ses études secondaires à Kairouan où il a obtenu son baccalauréat Lettres en 1979. Il a par la suite étudié à l’université de la Chariaa jusqu’en 1983. Il était actif au sein du mouvement de la tendance islamique et l’UGET et il a été emprisonné en avril 1987 pour un période de 8 mois, puis emprisonné une seconde fois pendant 3 ans. Il n’a pas travaillé depuis sa sortie de prison, divorcé puis remarié et père de trois enfants. Il était tête de liste d’Ennahdha à Gafsa.",8.783333,34.416667,"Tunisie"
"Gafsa","4f4fbcf3bd8cb5615700008c","Faiçal Jadlaoui","H",1960,"Aucun bloc","La justice","Forum démocratique pour le travail et les libertés",NA,"Commission des collectivités publiques, régionales et locales;Comité mixte de coordination et de rédaction;Commission des martyrs et blessés de la révolution et de l'amnistie générale;Commission des finances, de la planification et du développement",53.85,"http://www.marsad.tn/uploads/images/Faical_Jadlaoui.jpg","Né le 04 Avril 1960 à Metlaoui, gouvernorat de Gafsa, il a étudié dans plusieurs écoles primaires à Metlaoui et a entamé ses études secondaires à Rdeyef, après Gafsa. Il est ensuite allé à Damas où il a obtenu son baccalauréat en 1985. Il est revenu en Tunisie en espérant partir à l'Union Soviétique pour intégrer une université qui lui permettra de travailler en tant qu'ingénieur ou cadre au sein de la Compagnie des Phosphates de Gafsa dès son retour. Ses conditions financières ne lui ont pas permis de partir, il a alors intégré la Faculté de Droit de Tunis en 1987 pour y obtenir son diplôme en 1992. En 1994, il a obtenu son certificat d'aptitude à la profession d'avocat, spécialité droit privé, et il exerce son métier jusqu'à aujourd'hui. Il était actif au sein de l'Union Générale des Etudiants de Tunisie et des structures syndicales provisoires et a contribué à la réalisation du 18ème congrès extraordinaire. Il a plaidé pour plusieurs affaires d'opinion, la dernière en date celle du bassin minier en 2008. Il est le président de l'association nationale de défense des victimes d'injustices qu'il a fondé après la révolution. Il s'est présenté aux élections de l'Assemblée Nationale Constituante au sein de la liste de la justice indépendante, a rejoint actuellement le groupe d'Ettakatol. Il défend la consécration du principe de séparation des pouvoirs dans la constitution, l'indépendance de la justice et l'appui d'un système administratif décentralisé pour renforcer le développement régional. Il ne voit pas l'intérêt de mentionner la Chariaa dans la constitution et plaide pour garder l'article premier de la constitution de 1959.",8.783333,34.416667,"Tunisie"
"Italie","4f4fbcf3bd8cb56157000029","Imen Ben Mhamed","F",1984,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de la législation générale",97.89,"http://www.marsad.tn/uploads/images/Imen_Ben_Mhamed.jpg","Imen Ben Mhamed est née le 13 Novembre 1984 à Kebili. Elle est diplômée de l’Université de Rome dans le domaine de la coopération internationale et du développement économique et aussi de l’Institut Tunisien de Politique relatif au centre d'études méditerranéennes et internationales. A l’âge de 14 ans, elle est partie avec sa famille de la Tunisie pour rejoindre son père qui était un exilé politique en Italie et n’est retournée en Tunisie qu’une seule fois avant la révolution en raison des poursuites et des pressions que subissait sa famille. Elle était responsable de l’association des jeunes musulmans dans le Sud de l’Italie et la vice-présidente de la commission « Famille et politiques de travail » dans le forum des jeunes et de la société civile en Italie. Elle a aussi participé à plusieurs congrès en Italie et en Europe concernant le dialogue des cultures et a formé des enfants ainsi que des jeunes dans les lycées italiens dans le domaine du rapprochement des religions et des cultures. Imen Ben Mhamed est membre de l’Assemblée Nationale Constituante Tunisienne et aussi du conseil maghrébin de la choura. Elle maitrise la langue arabe, italienne, française et anglaise.",NA,NA,"Étranger"
"Italie","4f4fbcf3bd8cb56157000009","Oussama Al Saghir","H",1983,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de tri des candidatures pour l'Instance de la vérité et de la dignité relative à la justice transitionnelle;Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission des pouvoirs législatif, exécutif et des relations entre eux",94.24,"http://www.marsad.tn/uploads/images/Nahdha_Oussama_Al_Saghir.jpg","Né Oussama Ben Amor Al Saghir, le 20 juillet 1983 à Tunis. Son père ainsi que toute sa famille ont été obligés de quitter le pays suite à la montée au pouvoir de Ben Ali. Après 17 ans passées en Italie en tant que réfugié politique, il retourne en Tunisie en 2011, suite à la révolution du 14 janvier. Il a obtenu une maitrise en sciences politiques et relations diplomatiques internationales à l'université La Sapienza de Rome. Il a fondé, en compagnie d'un groupe de jeunes, la fédération de la jeunesse musulmane en Italie, dont il a été élu président. Il a notamment été membre du conseil de jeunesse pour le pluralisme religieux et culturel au minstère de l'intérieur italien et au ministère de la jeunesse. Il a donc participé, en tant que représentant de ce conseil et dans le cadre du dialogue des cultures et des religions, dans la commission relative aux écoles et aux questions juridiques au sein du minstère de l'éducation italien. Oussama Al Saghir a organisé et participé à plusieurs manifestations et conférences dans le cadre du renforcement des dialogues des religions autour de l'Islam et de la discrimination raciale. Il a notamment participé à plusieurs projets européens et internationaux ayant pour but de former et préparer les jeunes leaders politiques.",NA,NA,"Étranger"
"Italie","4f4fbcf3bd8cb56157000070","Abdessattar Dhifi","H",1981,"Fidélité à La Révolution","Pétition populaire pour la liberté, la justice et le développement","Indépendant",NA,"Commission d'enquête sur les incidents du 9 Avril;Commission des droits, des libertés et des relations étrangères;Commission des juridictions judiciaires, administratives, financières et constitutionnelles",47.09,"http://www.marsad.tn/uploads/images/Aridha_Abdessatar_Dhifi.jpg","Né le 04 mai 1981 à Tunis, il a effectué ses études primaires à l’école Fathallah à Jebel Jloud, puis a poursuivi son enseignement secondaire au lycée secondaire de Jebel Jloud où il a obtenu son baccalauréat en 1999. Il a étudié l’italien à la faculté de la Sapienza en Italie, puis a travaillé comme directeur des relations extérieures au sein de la société Fiat en Italie. Il est revenu en Tunisie après la révolution et il était actif au sein d’associations en Italie (associations d’immigrés, de tunisiens résidents et non-résidents en Italie). Il a commencé le travail politique après la révolution.",NA,NA,"Étranger"
"Jendouba","4f4fbcf3bd8cb561570000d8","Wissem Yassine","H",1974,"Aucun bloc","La lutte socialiste","Indépendant",NA,"Commission des affaires sociales;Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission des instances constitutionnelles",69.34,"http://www.marsad.tn/uploads/images/Wissam_Yassine.jpg","Wissem Yassine est né le 12 Avril 1974 à Bousalem et a effectué ses études primaires ainsi que secondaires dans la région de Bousalem où il a obtenu son baccalauréat scientifique en 1997. Il a ensuite intégré la faculté d'économie et de gestion de Jendouba où il a obtenu sa maitrise en économie et devenir par la suite enseignant au lycée secondaire.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb5615700005b","Sana Mersni","F",1984,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de la législation générale;Commission de la réforme administrative et de la lutte contre la corruption;Commission des pouvoirs législatif, exécutif et des relations entre eux",96.91,"http://www.marsad.tn/uploads/images/Sana_Mersni.jpg","Née le 1er décembre 1984 à Jendouba, elle a fait des études de lettres et a obtenu son baccalauréat en 2003. Après des études en droit privé à la Faculté des Sciences Juridiques et de Gestion de Jendouba, elle fait un master en Sciences Criminelles à la Faculté de Droit d'El Manar et vient de commencer sa thèse sur la transition démocratique en Tunisie. Elle exerce sa fonction d’avocate jusqu'à son élection à l'Assemblée Nationale Constituante.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb56157000003","Ahmed Mechergui","H",1969,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des secteurs des services;Commission du préambule, des principes fondamentaux et de révision de la Constitution",60.14,"http://www.marsad.tn/uploads/images/Ennahdha_Ahmed_Mechergui.jpg","Né le 04 août 1969, il a étudié le primaire et le secondaire à Jendouba et a obtenu son baccalauréat en 1991. Il a étudié la philosophie à la faculté des lettres et des sciences humaines de Raggueda (Kairouan), a eu sa maîtrise en 1995 et a enseigné dans des lycées privés. Il s’est inscrit pour un master en Syrie mais n’a pas pu continuer en raison de difficultés financières et est parti en France en 2003 où il est resté jusqu’ à après la révolution. Il a obtenu un master en 2005, puis un doctorat sur la métaphysique chez Hegel et a publié plusieurs ouvrages dont « la réalité de la mondialisation » (paru en 2003 en Syrie) et plusieurs articles dans des revues nationales et internationales.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb56157000065","Dhamir Mannai","H",1963,"Aucun bloc","Congrès pour la république","Indépendant","Assesseur chargé de la gestion et la surveillance budgétaire","",NA,"http://www.marsad.tn/uploads/images/Dhamir_Mannai.jpg","Né le 14 Janvier 1963 à Jendouba, Dhamir Mannai entame sa scolarité à Ain Soltan et Ain Drahem et poursuit ses études secondaires à Ain Drahem et Jendouba. Il a obtenu son baccalauréat avec excellence et a donc décroché une bourse d'Etat pour poursuivre ses études aux Etats-Unis d'Amérique où il a passé 23 ans de sa vie. Il a étudié la génie électrique à Michigan en se spécialisant dans les systèmes énergétiques et a ensuite obtenu un master en génie informatique en Pennsylvanie. Il a eu un doctorat en 1990 et a commencé en tant que professeur universitaire en Pennsylvanie, et à Boston en tant qu'expert auprès des tribunaux et chercheur en génie logiciel. Il a fondé sa propre société de programmation aux Etats-Unis en 1997 mais il a été obligé de la fermer après avoir perdu un bon nombre de ses clients après la complication des lois sur les transactions aux Etats-Unis suite aux évènements du 11 Septembre. Il a participé à la mise en place du projet du pôle technologique El Ghazala, ce qui lui a permis d'obtenir la distinction nationale du mérite pour le développement technologique en Tunisie en 2001. Il a travaillé au sein de sociétés privées françaises et allemandes en tant que directeur de l'ingénierie et directeur de recherches et de programmations. En 2008, lors de son retour en Tunisie, il a rejoint Tunisie Télécom pour ensuite créer sa propre société qui offre des services en sécurité informatique. Il est également le président de l'association des experts en sécurité informatique en Tunisie. Il a rejoint le Congrès Pour le République après le 14 Janvier 2011 parce qu'il y voyait un parti civil sans background idéologique. Il défend les droits des handicapés, la justice sociale et l'instauration du système d'élections locales. Marié et père de 4 enfants, il maitrise la langue arabe, française et anglaise.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb56157000043","Rabeh Khraifi","F",1969,"Aucun bloc","Parti démocratique progressiste","Al Jomhouri",NA,"Commission de tri des candidatures pour l'Instance de la vérité et de la dignité relative à la justice transitionnelle;Commission de l'infrastructure et de l'environnement;Commission des juridictions judiciaires, administratives, financières et constitutionnelles",69.42,"http://www.marsad.tn/uploads/images/PDP_Rabah_Khraifi.jpg","Né le 22 mai 1969, marié et père de 3 enfants, il est membre de l’ANC depuis le 23 octobre 2011 et membre de la commission de la justice judiciaire, administrative, financière et constitutionnelle. Titulaire d’un doctorat en droit public, il est avocat près la cour de cassation et chargé de cours à la faculté des sciences juridiques, économiques et de gestion de Jendouba. Il a commencé son activité politique dès sa jeunesse, au lycée Mustapha Khraief, où il a rejoint une cellule de jeunes panarabe Nasserite. Il a rejoint par la suite une cellule d’organisation des discussions au lycée, au club de cinéma et au quartier où il vivait. Il a continué avec eux jusqu’à sa deuxième année à la faculté, en 1989-1990, où il a décidé de quitter la cellule pour divergences au niveau de la méthode de travail, et ce après la première guerre du Golfe. Il a rejoint la jeunesse du mouvement des démocrates socialistes et s’est imposé pour devenir par la suite membre du bureau exécutif de la jeunesse démocratique, chargé des relations extérieures. En 1995, il a quitté le mouvement et est resté adhérent à Amnesty International Tunisie et la LTDH Jendouba, jusqu’à ce qu’il rejoigne le parti démocrate progressiste en 2003. Il en a créé l’université en mai 2004 à Jendouba, et lors du congrès du parti, il est devenu membre du bureau politique. Depuis 2009, il préside la commission des défenseurs des droits de l’Homme au sein de la section tunisienne d’Amnesty International, et est membre du congrès panarabe.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb56157000027","Anouar Marzouki","H",1974,"Transition Démocratique","Pétition populaire pour la liberté, la justice et le développement","Parti El Amen",NA,"Commission des affaires éducatives",74.57,"http://www.marsad.tn/uploads/images/Aridha_Anouar_Marzouki.jpg","Anouar Marzouki est né le le 02 Janvier 1974 à Jendouba. Il a effectué ses études primaires à Jendouba et ensuite ses études secondaires à Ghardimaou où il a obtenu son baccalauréat en mathématiques en 1993. Il a poursuivi ses études supérieures à la Faculté des Sciences de Tunis où il a obtenu sa maitrise en mathématiques en 1999.",8.783333,36.5,"Tunisie"
"Jendouba","50abb3efb197de0efdf02b8f","Nafissa Marzouki","F",1955,"Ettakatol","Forum démocratique pour le travail et les libertés","Forum démocratique pour le travail et les libertés",NA,"Commission de tri des candidatures pour l'Instance de la vérité et de la dignité relative à la justice transitionnelle",84.47,"http://www.marsad.tn/uploads/images/Nafissa_Marzouki.png","Née le 16 Mars 1955 à Jendouba, Nafissa Marzouki est mariée et mère de deux enfants. Elle est diplômée de la Faculté des Lettres de 9 Avril, Tunis, où elle a obtenu sa maitrise en lettres françaises en Septembre 1979. Elle a été professeur de français d’abord au collège puis lycée secondaire de Jendouba entre 1979 et 1991. Ensuite, elle a été détachée à l’Institut Supérieur de Formation de Maitres, Bulla Regia, entre 1991 et 1999. De 1999 à 2003, elle a enseigné au lycée secondaire de Jendouba pour finalement être détachée à l’ISET de Jendouba entre 2003 et 2012. Elle a, entre autres, encadré des professeurs d’enseignement de premier cycle et professeur correcteur du baccalauréat pour différentes sessions. Elle a à son effectif un nombre de productions littéraires car elle a publié plusieurs nouvelles publiées entre 2004 et 2009 ainsi qu’un recueil de poèmes en 2011. Elle était déléguée syndicale au syndicat de l’enseignement secondaire au sein de l’Union Régionale de Jendouba entre 1980 et 1985. Elle est aussi adhérente à la ligue Tunisienne des Droits de l’Homme depuis les années 90 – section de Jendouba. Entre 1980 et 1984, elle a été membre du comité des ciné-clubs pour enfants de Jendouba et a aidé à la création d’une chorale pour enfants. Elle est aussi présidente de l’association Atfal Bledi depuis Juin 2012. Elle a adhéré au Ettakatol en Juin 2011 et est députée à l’ANC depuis Novembre 2012 en remplaçant Said Mchichi qui avait rejoint le gouvernement.",8.783333,36.5,"Tunisie"
"Jendouba","4f4fbcf3bd8cb561570000be","Mongi Rahoui","H",1964,"Bloc Démocrates","Mouvement des patriotes démocrates","Mouvement des Patriotes Démocrates",NA,"Commission des finances, de la planification et du développement;Commission des consensus;Commission de la réforme administrative et de la lutte contre la corruption;Commission des collectivités publiques, régionales et locales",75.84,"http://www.marsad.tn/uploads/images/Wataniyoun_Monji_Rahoui.jpg","Né à Ghar Dimaou (gouvernorat de Jendouba) le 13 Juin 1964, il a fait ses études primaires et secondaires entre les villes de Tunis et de Jendouba. Mongi Rahoui a ensuite poursuivi ses études universitaires en France, au sein de l’école supérieure du commerce et de comptabilité (université de Marseille) où il a obtenu une maitrise en gestion et comptabilité. Il a ensuite continué ses études universitaires à Paris où il a obtenu un diplôme des études supérieures en techniques comptables au sein de l’ I.N.T.E.C (Institut National des Techniques Economiques et Comptables) de Paris. Il a aussi décroché un mastère spécialisé en ingénierie financière à l’école supérieure de commerce de Tunis. MongiRahoui a travaillé à la Banque Nationale Agricole. Il a été un militant syndical. Il a aussi été actif dans le domaine politique :il a rejoint le (MDS) mouvement desdémocrates socialistes. Il a été ensuite emprisonné en 1982 pour incitation au désordre. Rahoui a rejoint le Mouvement des patriotes démocrates depuis Mars 2011. Parti qu’il représente à l’assemblée nationale constituante. Il est par ailleurs le seul député du Mouvement des patriotes démocrates, parti dirigé par feu Chokri Belaid. Mongi Rahoui a pris part en 2012 et 2013 à de nombreuses polémiques contre le président de la République, le gouvernement et Ennahdha : a remis, par exemple, en cause le 07.02.2013 la légitimité de l'Assemblée nationale constituante et critiqué le Mouvement Ennahdha pour son absence de prise de position (2013). Personnage très médiatisé (2013).",8.783333,36.5,"Tunisie"
"Kairouan","4f4fbcf3bd8cb56157000047","Romdhane Doghmani","H",1952,"Transition Démocratique","Pétition populaire pour la liberté, la justice et le développement","Mouvement de la République",NA,"Commission des affaires sociales",78.08,"http://www.marsad.tn/uploads/images/Aridha_Romdhane_daghmani.jpg","Né le 10 Août 1952 à Kairouan, il a fait ses études primaires à Bouhajla et secondaires au lycée de Kairouan. Il a ensuite intégré la Faculté de Tunis pour des études de Sciences Economiques. Il a travaillé comme directeur d’une école primaire et a été le secrétaire général du syndicat de l’enseignement primaire pendant la période de 1980 et 1981. De 1978 jusqu’à 1994, il était membre actif du Mouvement des Démocrates Socialistes.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb56157000084","Fathi Eltaif","H",1956,"Aucun bloc","Parti communiste des ouvriers de Tunisie","Parti des travailleurs",NA,"Commission spécialisée du réglement intérieur et de l'immunité;Commission des affaires sociales",75.94,"http://www.marsad.tn/uploads/images/PCOT_Fathi_Ltayef.jpg","Né le 26 Janvier 1956, il effectue toute sa scolarité de l'école aux études secondaires à Kairouan, puis décroche un diplôme de technicien. Son militantisme débute dans le milieu syndical, il intègre l'UGTT et sera élu pour deux mandats en tant que secrétaire général de la section de Kairouan, avant d'être renvoyé de son travail lors de la crise 1985, il connait la prison pour une courte période sous Bourguiba puis a été réintégré dans son travail en 1988 et continue d'être actif au sein de l'UGTT. Son parcours politique débute en Janvier 1987, où il rejoint le PCOT à sa création. Pour la future constitution, il compte défendre les droits et les libertés, à l'instar du droit au travail, aux soins gratuits, à l'école obligatoire, au logement social, et les libertés d'association, de presse, de constituer des partis. Il maitrise la langue arabe et française.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb561570000bd","Moufida Marzouki","F",1960,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de la réforme administrative et de la lutte contre la corruption;Commission des affaires sociales",93.82,"http://www.marsad.tn/uploads/images/Moufida_Marzouki.jpg","Née le 03 Mai 1960 dans la ville de Nasrallah au Kairouan, elle a intégré l'école primaire en 1966, et en terminant cette phase, elle a effectué 3 ans d'études secondaires mais elle a ensuite choisi de se former dans le secteur de l'enseignement. Elle a donc poursuivi ses études secondaires pendant 4 autres années à l'institut supérieur de formation des maitres et a effectué un stage d'un an avant d'être recrutée en 1980. La durée de sa mission en tant que maitresse d'école est estimée à 35 ans. Elle était politiquement active avant la révolution. En effet, elle était membre du mouvement de la tendance islamiste depuis 1981 et ensuite du mouvement Ennahdha avec lequel elle s'est présentée aux élections de l'Assemblée Nationale Constituante.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb56157000088","Farida Labidi","F",1968,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des droits et libertés;Commission des consensus;Commission d'enquête sur les incidents du 9 Avril;Comité mixte de coordination et de rédaction",90.15,"http://www.marsad.tn/uploads/images/Farida_Abidi.jpg","Né le 24 Mars 1968 au Kef, elle vit à Tunis avec son mari et ses deux enfants. Elle a passé six mois en prison parce qu’elle militait pour l’UGTE pendant ses études à la faculté de droit de Sousse. Elle a rejoint ensuite la faculté de droit de Tunis où elle a obtenu son DEA. L’année 1997 marque un grand tournant dans sa carrière : son dossier est enfin accepté au Barreau de Tunis – il avait été mis de côté pour raisons politiques – et elle peut commencer à travailler. En 2007 elle devient membre de la section régionale du Barreau de Tunis et est encore aujourd’hui membre de la section. Elle est membre fondateur de la cellule tunisienne du barreau des avocates arabes.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb56157000005","Ahmed Smiai","H",1943,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des droits et libertés",83.04,"http://www.marsad.tn/uploads/images/Nahdha_Ahmad_Smii_1.jpg","Né le 11 Février 1943, il début sa scolarité à l'école de Bouhajla dans le gouvernorat de Kairouan, et poursuit ses études secondaires à Kairouan puis à Tunis. Il mène des études supérieures en physique-chimie à Tunis et en France, puis devient enseignant dans le secondaire, il est aujourd'hui retraité. Son militantisme politique commence alors qu'il est encore étudiant, il adhère au parti du Baath et connait la prison sous Bourguiba en 1967-68. Evoluant dans ses réflexions et prenant conscience de l'importance des libertés, il finit par quitter ce parti pour militer en tant qu'indépendant. Plus tard sous Ben ali, il rejoint pendant un moment Mustapha Ben Jaafar au Ettakatol avant de quitter le parti réalisant qu'il ne partage pas l'ensemble de ses idées. Il est aujourd'hui indépendant et n'est pas adhérent à Ennahdha. Pour la future constitution, il souhaite défendre la valeur de la famille qui est en rapport avec notre culture arabo-musulmane et qui a été délaissée selon lui en Tunisie. Il maîtrise la langue arabe et française.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb561570000cd","Nizar Makhloufi","H",1981,"Fidélité à La Révolution","Congrès pour la république","Courant Démocratique",NA,"Commission des collectivités publiques, régionales et locales;Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission des affaires éducatives",42.53,"http://www.marsad.tn/uploads/images/Nizar_Makhloufi.jpg","Né le 04 septembre 1981, il a effectué ses études primaires à l’école primaire Arbia à El Alaa, puis ses études secondaires au lycée d’El Alaa centre où il a obtenu son baccalauréat lettres en 2002. Il a étudié par la suite à la faculté des lettres et des sciences humaines de Rakkada où il a obtenu sa maitrise en 2006. Il a réussi le CAPES et enseigne depuis 2007. Il a par ailleurs obtenu un master en 2011 en langue et littérature arabe. Il n’avait pas d’activités politiques avant la révolution, mais avait une activité syndicale après le début de sa carrière professionnelle, et ce, durant deux ans.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb5615700009c","Mohamed Habib Harguem","H",1946,"Ettakatol","Forum démocratique pour le travail et les libertés","Forum démocratique pour le travail et les libertés",NA,"Commission des secteurs des services;Commission spécialisée du réglement intérieur et de l'immunité;Commission des instances constitutionnelles",71.42,"http://www.marsad.tn/uploads/images/Habib_Harguem.jpg","Né le 24 avril 1946 à Kairouan, il a effectué ses études primaires à Kairouan. Il a ensuite poursuivi ses études secondaires au lycée de garçons de Kairouan puis à Sfax. Il a occupé le poste d’enseignant pendant 15 ans, puis celui de directeur d’école pour 3 ans. Il est ensuite devenu conseiller pédagogique pour les écoles primaires. Habib Harguem a aussi occupé le poste de coordinateur des programmes d’enseignement pour les écoles privées. Il est membre du Forum Démocratique pour le Travail et les Libertés depuis 2011.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb56157000048","Rim Thairi","F",1981,"Aucun bloc","Pétition populaire pour la liberté, la justice et le développement","Courant de l'amour",NA,"Commission des affaires éducatives",54.23,"http://www.marsad.tn/uploads/images/Rim_Thairi.jpg","Née le 06 Avril 1981 à Kairouan, elle a effectué la première phase de son enseignement dans le gouvernorat de Kairouan. En effet, elle a étudié à l'école primaire Cité Nasr, ensuite au collège Al-Hasri et finalement au lycée Ibn-Jazzar où elle a obtenu son diplôme de baccalauréat en 2002. Elle a poursuivi ses études supérieures à Tunis en intégrant la Faculté des Lettres et des Sciences Humaines où elle a obtenu sa maitrise en langue anglaise. Rim n'avait aucune activité politique avant la révolution.",10.0919243,35.6759137,"Tunisie"
"Kairouan","4f4fbcf3bd8cb561570000b8","Mahmoud Gouiaa","F",1965,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission d'enquête sur les incidents du 9 Avril;Commission des droits et libertés;Commission des droits, des libertés et des relations étrangères",98.78,"http://www.marsad.tn/uploads/images/Mahmoud_Gouiaa.jpg","Mahmoud Guia est né le 18/08/1965 à Kairouan. Il a effectué ses études secondaires au lycée de Kairouan et a eu son Baccalauréat en 1985. Il a suivi ses études universitaires en sciences islamiques et a obtenu un diplôme d’études approfondies en 1990. Il a été emprisonné de 1991 à 1996, période durant laquelle il a suspendu ses études. En 2012, il a repris ses études et a obtenu un Master en sciences islamiques la même année. Mahmoud Gouiaa a occupé le poste de Secrétaire général de l'organisation de l’Union Générale des Etudiants Tunisiens ainsi que membre du Bureau exécutif de l’Union générale des Etudiants Tunisiens.",10.0919243,35.6759137,"Tunisie"
